Item Level	Item Level
601	256
602	257
603	258
604	259
605	260
606	261
607	262
608	263
609	264
610	265
611	266
612	267
613	268
614	269
615	270
616	271
617	272
618	273
619	274
620	275
621	276
622	277
623	278
624	279
625	280
626	281
627	282
628	283
629	284
630	285
631	286
632	287
633	288
634	289
635	290
636	291
637	292
638	293
639	294
640	295
641	296
642	297
643	298
644	299
645	300
646	301
647	302
648	303
649	304
650	305
651	306
652	307
653	308
654	309
655	310
656	311
657	312
658	313
659	314
660	315
661	316
662	317
663	318
664	319
665	320
666	321
667	322
668	323
669	324
670	325
671	326
672	327
673	328
674	329
675	330
676	331
677	332
678	333
679	334
680	335
681	336
682	337
683	338
684	339
685	340
686	341
687	342
688	343
689	344
690	345
691	346
692	347
693	348
694	349
695	350
696	351
697	352
698	353
699	354
700	355
701	356
702	357
703	358
704	359
705	360
706	361
707	362
708	363
709	364
710	365
711	366
712	367
713	368
714	369
715	370
716	371
717	372
718	373
719	374
720	375
721	376
722	377
723	378
724	379
725	380
726	381
727	382
728	383
729	384
730	385
731	386
732	387
733	388
734	389
735	390
736	391
737	392
738	393
739	394
740	395
741	396
742	397
743	398
744	399
745	400
746	401
747	402
748	403
749	404
750	405
751	406
752	407
753	408
754	409
755	410
756	411
757	412
758	413
759	414
760	415
761	416
762	417
763	418
764	419
765	420
766	421
767	422
768	423
769	424
770	425
771	426
772	427
773	428
774	429
775	430
776	431
777	432
778	433
779	434
780	435
781	436
782	437
783	438
784	439
785	440
786	441
787	442
788	443
789	444
790	445
791	446
792	447
793	448
794	449
795	450
796	451
797	452
798	453
799	454
800	455
801	456
802	457
803	458
804	459
805	460
806	461
807	462
808	463
809	464
810	465
811	466
812	467
813	468
814	469
815	470
816	471
817	472
818	473
819	474
820	475
821	476
822	477
823	478
824	479
825	480
826	481
827	482
828	483
829	484
830	485
831	486
832	487
833	488
834	489
835	490
836	491
837	492
838	493
839	494
840	495
841	496
842	497
843	498
844	499
845	500
846	501
847	502
848	503
849	504
850	505
851	506
852	507
853	508
854	509
855	510
856	511
857	512
858	513
859	514
860	515
861	516
862	517
863	518
864	519
865	520
866	521
867	522
868	523
869	524
870	525
871	526
872	527
873	528
874	529
875	530
876	531
877	532
878	533
879	534
880	535
881	536
882	537
883	538
884	539
885	540
886	541
887	542
888	543
889	544
890	545
891	546
892	547
893	548
894	549
895	550
896	551
897	552
898	553
899	554
900	555
901	556
902	557
903	558
904	559
905	560
906	561
907	562
908	563
909	564
910	565
911	566
912	567
913	568
914	569
915	570
916	571
917	572
918	573
919	574
920	575
921	576
922	577
923	578
924	579
925	580
926	581
927	582
928	583
929	584
930	585
931	586
932	587
933	588
934	589
935	590
936	591
937	592
938	593
939	594
940	595
941	596
942	597
943	598
944	599
945	600
946	601
947	602
948	603
949	604
950	605
951	606
952	607
953	608
954	609
955	610
956	611
957	612
958	613
959	614
960	615
961	616
962	617
963	618
964	619
965	620
966	621
967	622
968	623
969	624
970	625
971	626
972	627
973	628
974	629
975	630
976	631
977	632
978	633
979	634
980	635
981	636
982	637
983	638
984	639
985	640
986	641
987	642
988	643
989	644
990	645
991	646
992	647
993	648
994	649
995	650
996	651
997	652
998	653
999	654
1000	655
1001	656
1002	657
1003	658
1004	659
1005	660
1006	661
1007	662
1008	663
1009	664
1010	665
1011	666
1012	667
1013	668
1014	669
1015	670
1016	671
1017	672
1018	673
1019	674
1020	675
1021	676
1022	677
1023	678
1024	679
1025	680
1026	681
1027	682
1028	683
1029	684
1030	685
1031	686
1032	687
1033	688
1034	689
1035	690
1036	691
1037	692
1038	693
1039	694
1040	695
1041	696
1042	697
1043	698
1044	699
1045	700
1046	701
1047	702
1048	703
1049	704
1050	705
1051	706
1052	707
1053	708
1054	709
1055	710
1056	711
1057	712
1058	713
1059	714
1060	715
1061	716
1062	717
1063	718
1064	719
1065	720
1066	721
1067	722
1068	723
1069	724
1070	725
1071	726
1072	727
1073	728
1074	729
1075	730
1076	731
1077	732
1078	733
1079	734
1080	735
1081	736
1082	737
1083	738
1084	739
1085	740
1086	741
1087	742
1088	743
1089	744
1090	745
1091	746
1092	747
1093	748
1094	749
1095	750
1096	751
1097	752
1098	753
1099	754
1100	755
1101	756
1102	757
1103	758
1104	759
1105	760
1106	761
1107	762
1108	763
1109	764
1110	765
1111	766
1112	767
1113	768
1114	769
1115	770
1116	771
1117	772
1118	773
1119	774
1120	775
1121	776
1122	777
1123	778
1124	779
1125	780
1126	781
1127	782
1128	783
1129	784
1130	785
1131	786
1132	787
1133	788
1134	789
1135	790
1136	791
1137	792
1138	793
1139	794
1140	795
1141	796
1142	797
1143	798
1144	799
1145	800
1146	801
1147	802
1148	803
1149	804
1150	805
1151	806
1152	807
1153	808
1154	809
1155	810
1156	811
1157	812
1158	813
1159	814
1160	815
1161	816
1162	817
1163	818
1164	819
1165	820
1166	821
1167	822
1168	823
1169	824
1170	825
1171	826
1172	827
1173	828
1174	829
1175	830
1176	831
1177	832
1178	833
1179	834
1180	835
1181	836
1182	837
1183	838
1184	839
1185	840
1186	841
1187	842
1188	843
1189	844
1190	845
1191	846
1192	847
1193	848
1194	849
1195	850
1196	851
1197	852
1198	853
1199	854
1200	855
1201	856
1202	857
1203	858
1204	859
1205	860
1206	861
1207	862
1208	863
1209	864
1210	865
1211	866
1212	867
1213	868
1214	869
1215	870
1216	871
1217	872
1218	873
1219	874
1220	875
1221	876
1222	877
1223	878
1224	879
1225	880
1226	881
1227	882
1228	883
1229	884
1230	885
1231	886
1232	887
1233	888
1234	889
1235	890
1236	891
1237	892
1238	893
1239	894
1240	895
1241	896
1242	897
1243	898
1244	899
1245	900
1246	901
1247	902
1248	903
1249	904
1250	905
1251	906
1252	907
1253	908
1254	909
1255	910
1256	911
1257	912
1258	913
1259	914
1260	915
1261	916
1262	917
1263	918
1264	919
1265	920
1266	921
1267	922
1268	923
1269	924
1270	925
1271	926
1272	927
1273	928
1274	929
1275	930
1276	931
1277	932
1278	933
1279	934
1280	935
1281	936
1282	937
1283	938
1284	939
1285	940
1286	941
1287	942
1288	943
1289	944
1290	945
1291	946
1292	947
1293	948
1294	949
1295	950
1296	951
1297	952
1298	953
1299	954
1300	955
